Players,Span,Matches,Innings,Not outs,Runs,High Score,Average,Balls faced,Strike rate,100s,50s,0s,4s,6s
Amoluk Singh (GHA),2021-2022,15,14,2,332,80*,27.66,280,118.57,0,2,1,49,7
Faisal Javed (QAT),2019-2019,15,15,0,330,61,22,212,155.66,0,2,1,45,11
D Suzuki (JPN),2022-2024,31,27,9,329,45*,18.27,291,113.05,0,0,2,32,5
RA Sealy (CAY),2022-2023,13,13,1,328,73*,27.33,218,150.45,0,2,0,20,22
SR Thompson (IRE),2014-2019,41,30,8,328,56,14.9,254,129.13,0,1,1,23,14
KD Abeyrathna (NOR),2021-2024,19,18,3,327,46*,21.8,354,92.37,0,0,1,26,6
T Banton (ENG),2019-2022,14,14,0,327,73,23.35,221,147.96,0,2,0,29,17
RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11
BDH Stevens (JER),2019-2022,20,20,1,327,44,17.21,335,97.61,0,0,1,30,6
S Vesawkar (NEP),2014-2022,20,19,5,325,40,23.21,328,99.08,0,0,0,26,7
Hamza Tariq (CAN),2013-2022,26,20,9,324,63*,29.45,201,161.19,0,3,2,27,14
D Muhumuza (UGA),2019-2022,32,22,8,324,59*,23.14,307,105.53,0,2,1,26,12
Shahid Wasif (HKG),2016-2023,24,22,6,324,50,20.25,307,105.53,0,1,1,23,10
LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
R Lutaaya (UGA),2022-2024,20,18,0,323,70,17.94,255,126.66,0,1,2,35,8
Maaz Khan (LES),2021-2024,18,17,1,323,68*,20.18,216,149.53,0,2,5,30,16
CP Rizwan (UAE),2019-2023,18,16,3,323,51*,24.84,295,109.49,0,1,0,25,6
Sompal Kami (NEP),2014-2024,68,41,12,323,40,11.13,284,113.73,0,0,5,25,14
PV Vuniwaqa (Fiji),2022-2023,10,10,1,323,72*,35.88,207,156.03,0,2,0,29,21
Mahedi Hasan (BAN),2018-2024,50,34,9,322,30*,12.88,312,103.2,0,0,6,24,10
C Brennan (JER),2021-2024,23,21,6,319,67*,21.26,249,128.11,0,2,2,22,18
C Madande (ZIM),2022-2024,30,23,5,318,44*,17.66,303,104.95,0,0,2,28,6
Bakhtiar Tahiri (BUL),2020-2022,14,11,1,317,66,31.7,271,116.97,0,1,0,31,15
C Chatphaisan (THAI),2022-2024,27,25,3,317,70*,14.4,324,97.83,0,1,6,28,5
Zaheer Ibrahim (QAT),2019-2021,24,22,5,317,50,18.64,280,113.21,0,1,3,35,8
BM Duckett (ENG),2019-2023,12,12,2,315,70*,31.5,217,145.16,0,1,0,40,2
Sahil Chauhan (EST),2023-2024,8,8,3,315,144*,63,125,252,1,1,1,15,34
Abhijeet Ahuja (HUN),2021-2023,19,18,1,314,75,18.47,328,95.73,0,2,3,25,7
NJ Ferraby (JER),2019-2021,18,18,1,314,81*,18.47,284,110.56,0,1,3,39,2
Osama Mahmood (SUI),2021-2024,15,14,2,314,58*,26.16,274,114.59,0,2,2,31,7
PA Raikes (GIBR),2021-2024,15,15,2,314,74*,24.15,295,106.44,0,2,0,25,8
Ehsan Khan (HKG),2016-2024,67,39,18,313,42*,14.9,305,102.62,0,0,6,16,13
Tanzid Hasan (BAN),2024-2024,14,14,2,313,67*,26.08,266,117.66,0,3,3,34,10
Pargat Singh (CAN),2022-2024,19,18,1,312,82,18.35,301,103.65,0,2,4,30,6
Faheem Ashraf (PAK),2017-2023,48,33,8,311,31,12.44,241,129.04,0,0,4,19,18
Khizer Ahmed (NOR),2019-2024,17,16,3,311,57*,23.92,272,114.33,0,1,1,33,7
AV Lazarus (THAI),2024-2024,13,12,3,311,95,34.55,246,126.42,0,3,0,25,15
Muhammad Kashif (KUW),2019-2022,21,18,4,311,53,22.21,294,105.78,0,2,1,20,15
CR Brathwaite (WI),2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22
S Samarawickrama (SL),2017-2024,19,18,2,310,61*,19.37,282,109.92,0,2,2,32,2
JA Fitzgerald (GIBR),2019-2024,34,29,13,309,28*,19.31,235,131.48,0,0,4,13,17
A Kheterpal (HUN),2021-2023,18,18,7,309,42,28.09,258,119.76,0,0,2,34,7
Saim Ayub (PAK),2023-2024,23,21,0,309,49,14.71,253,122.13,0,0,3,34,15
ML Hayden (AUS),2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13
D Heyliger (CAN),2019-2024,39,25,17,308,30,38.5,179,172.06,0,0,2,21,21
Mehran Khan (OMA),2015-2024,41,32,5,308,29,11.4,268,114.92,0,0,4,21,13
LB Ferbrache (GUE),2019-2024,29,23,5,307,55,17.05,337,91.09,0,1,2,13,4
GP Meade (ITA),2019-2024,32,25,7,307,59*,17.05,300,102.33,0,1,3,21,8
T Tshose (BOT),2019-2023,26,21,6,307,60,20.46,209,146.88,0,1,2,20,13
Waqas Barkat (HKG),2014-2020,30,25,3,307,37,13.95,333,92.19,0,0,3,25,0
RL Chase (WI),2021-2024,19,13,4,304,67*,33.77,240,126.66,0,2,2,27,9
TS Kamunhukamwe (ZIM),2020-2024,15,15,0,304,44,20.26,288,105.55,0,0,2,29,10
TG Southee (NZ),2008-2024,126,50,23,303,39,11.22,218,138.99,0,0,6,20,18
S Veerapathiran (BHR),2020-2024,43,34,11,302,33*,13.13,244,123.77,0,0,5,20,17
KC Ramamoorthy (INA),2022-2024,17,16,0,301,55,18.81,263,114.44,0,2,2,28,11
Lakshit Gupta (CAM),2023-2024,21,21,2,300,55,15.78,336,89.28,0,1,1,23,8
XM Marshall (USA/WI),2008-2021,20,18,1,300,47*,17.64,290,103.44,0,0,2,26,9
Muhamad Syahadat (MAS),2019-2024,28,22,11,300,41*,27.27,256,117.18,0,0,1,19,14
Zahir Mohammed (HUN),2021-2023,19,17,0,300,78,17.64,199,150.75,0,1,1,23,22
NL McCullum (NZ),2007-2016,63,41,15,299,36*,11.5,297,100.67,0,0,4,19,8
R Panchal (ESP),2019-2023,22,18,7,299,71*,27.18,331,90.33,0,1,1,11,9
BJ Bennett (ZIM),2023-2024,16,16,2,298,70,21.28,220,135.45,0,1,2,31,13
RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
Simi Singh (IRE),2018-2022,53,40,11,296,57*,10.2,273,108.42,0,1,8,18,8
Jaspal Singh (MLT),2023-2024,19,19,3,295,65*,18.43,278,106.11,0,2,2,21,17
WA Young (NZ),2021-2024,18,17,0,295,56,17.35,287,102.78,0,2,0,31,9
AM Kimote (TAN),2021-2024,62,39,19,294,32,14.7,273,107.69,0,0,5,25,6
H Patel (CAN),2010-2021,15,15,1,294,88*,21,285,103.15,0,2,2,28,3
Hassan Rasheed (MDV),2019-2024,28,25,1,293,34,12.2,355,82.53,0,0,3,20,7
C Karunaratne (SL),2021-2023,42,34,16,291,31,16.16,274,106.2,0,0,6,15,12
CA Lynn (AUS),2014-2018,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14
HDRL Thirimanne (SL),2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5
MTMMJ Ave (COK),2022-2022,6,6,2,290,92*,72.5,225,128.88,0,3,0,30,10
I Kaia (ZIM),2021-2024,19,19,0,290,54,15.26,277,104.69,0,1,1,27,7
A Sharma (UAE),2023-2023,11,11,1,290,60,29,271,107.01,0,3,1,39,2
Aaftab Alam Khan (MLT),2021-2023,27,26,7,289,71*,15.21,235,122.97,0,1,5,26,11
Amjad Sher (FIN),2019-2024,28,27,2,289,37*,11.56,203,142.36,0,0,2,12,17
AN Kervezee (NED),2009-2012,10,10,1,289,58*,32.11,262,110.3,0,2,0,19,6
J Broad (GER),2022-2022,9,9,2,288,62,41.14,241,119.5,0,3,0,26,3
Hamza Dar (ESP),2019-2024,19,17,3,288,59*,20.57,258,111.62,0,1,1,18,11
VS Padhaal (FIN),2019-2024,26,25,2,288,46,12.52,311,92.6,0,0,2,24,5
Ameer Saiyed (BOT),2019-2023,16,15,0,287,55,19.13,285,100.7,0,1,0,29,6
R Obuya (UGA),2023-2024,21,19,2,287,57,16.88,245,117.14,0,1,3,24,13
LN Oluoch (KENYA),2013-2024,59,34,14,287,32,14.35,245,117.14,0,0,3,22,11
A Turay (SLE),2022-2023,18,18,2,287,78*,17.93,277,103.61,0,1,2,31,6
A Venkatesh (SWE),2021-2022,16,16,2,287,54,20.5,272,105.51,0,1,2,25,2
CF Tlali (LES),2021-2024,18,17,1,286,42,17.87,289,98.96,0,0,3,23,7
A Bagai (CAN),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0
BJ McCarthy (IRE),2017-2024,56,35,13,284,51*,12.9,243,116.87,0,1,7,19,15
J Mosca (ITA),2022-2024,14,14,1,284,72,21.84,192,147.91,0,2,1,32,10
NN Odhiambo (KENYA),2007-2022,43,31,5,284,41,10.92,272,104.41,0,0,6,31,6
Saad Bin Zafar (CAN),2019-2024,41,21,8,283,29*,21.76,225,125.77,0,0,1,25,11
Habib Khan (EST),2021-2022,12,12,0,282,60,23.5,235,120,0,3,1,14,17
N Knights (IOM),2020-2023,18,17,0,282,69,16.58,197,143.14,0,2,4,25,17
GE Ngegba (SLE),2022-2023,23,23,5,282,38*,15.66,316,89.24,0,0,5,30,2
Abdul-Shakoor Rahimzei (GER),2019-2023,26,21,3,281,59,15.61,268,104.85,0,1,2,21,7
Abhishek Ahuja (HUN),2022-2024,17,16,0,281,61,17.56,267,105.24,0,1,4,26,10
ARA Chambers (PORT),2021-2024,17,17,1,281,44,17.56,304,92.43,0,0,1,31,2
Mohammad Shahzad (UAE),2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11
Rafiullah (OMA),2022-2024,28,22,3,281,32,14.78,163,172.39,0,0,3,14,26
SA Engelbrecht (NED),2024-2024,12,10,1,280,75,31.11,211,132.7,0,1,1,21,12
Aminuddin Ramly (MAS),2019-2021,23,21,4,280,41,16.47,189,148.14,0,0,1,13,20
BN Toube (CAM),2021-2023,17,16,0,280,49,17.5,292,95.89,0,0,2,32,9
AC Agar (AUS),2016-2024,49,29,5,279,29,11.62,278,100.35,0,0,4,19,9
Arslan Amjad (EST),2022-2024,14,14,1,279,63,21.46,254,109.84,0,2,3,21,11
TC Bruce (NZ),2017-2020,17,17,2,279,59*,18.6,228,122.36,0,2,2,24,7
Fanyan Mughal (MLT),2023-2024,24,23,2,279,56,13.28,257,108.56,0,1,2,23,14
JP Kaltapau (VAN),2022-2024,19,17,0,279,60,16.41,290,96.2,0,1,2,27,2
PHKD Mendis (SL),2018-2024,15,14,1,279,65*,21.46,225,124,0,1,1,28,10
Z Bimenyimana (RWN),2021-2024,70,48,13,278,30,7.94,217,128.11,0,0,11,14,20
Shoaib Khan (OMA),2022-2024,24,23,6,277,57,16.29,262,105.72,0,1,5,28,6
Khalid Kail (OMA),2024-2024,17,15,4,276,55,25.09,249,110.84,0,2,0,21,10
T Perera (BOT),2019-2022,16,15,3,276,30,23,305,90.49,0,0,1,31,5
F Banunaek (INA),2022-2024,29,18,2,275,54,17.18,315,87.3,0,1,2,18,4
SC Getkate (IRE),2019-2022,30,26,3,275,30,11.95,246,111.78,0,0,1,10,15
SS McKechnie (HKG),2019-2023,30,25,9,275,44,17.18,280,98.21,0,0,2,20,3
Ali Raza (Belg),2021-2024,20,17,1,275,50,17.18,194,141.75,0,1,2,26,15
TAM Siriwardana (SL),2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12
E Beukes (CAM),2023-2024,22,19,6,273,39,21,213,128.16,0,0,3,16,16
D Myers (ZIM),2021-2024,13,13,1,273,65*,22.75,233,117.16,0,1,1,25,4
Sohaib Maqsood (PAK),2013-2021,26,22,2,273,37,13.65,234,116.66,0,0,2,20,11
SM Curran (ENG),2019-2024,51,30,9,272,50,12.95,230,118.26,0,1,0,16,12
AC Gilchrist (AUS),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
A Shirai-Patmore (JPN),2022-2024,19,17,1,272,38,17,286,95.1,0,0,1,29,0
Amjad Javed (UAE),2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15
JTS Sumerauer (JER),2019-2024,38,29,7,271,54*,12.31,213,127.23,0,1,2,16,11
J van Heerden (GER),2022-2023,10,9,3,271,53*,45.16,225,120.44,0,1,0,36,2
M Spoors (CAN),2022-2022,10,9,2,269,108*,38.42,225,119.55,1,1,1,30,6
Waji Ul Hassan (KSA),2024-2024,13,10,2,269,115*,33.62,183,146.99,1,1,1,26,11
FA Allen (WI),2018-2024,37,26,8,268,34,14.88,198,135.35,0,0,5,15,21
MV Boucher (SA),2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2
A Randhawa (Aut),2022-2024,21,18,2,268,78*,16.75,320,83.75,0,1,0,18,5
JS Malhotra (USA),2019-2022,17,15,1,267,58,19.07,226,118.14,0,1,0,20,10
C Tommy (VAN),2019-2023,18,17,0,267,47,15.7,285,93.68,0,0,2,15,10
S Ghimire (PORT),2023-2024,12,10,3,265,53*,37.85,218,121.55,0,1,0,29,5
CV Anto (KUW),2023-2024,16,16,3,264,54,20.3,176,150,0,1,0,15,19
CN Greaves (SCOT),2021-2024,29,22,9,264,45,20.3,248,106.45,0,0,1,20,6
Muhammad Younis (BHR),2020-2022,14,14,1,262,82*,20.15,203,129.06,0,1,2,27,11
Devender Singh (GHA),2021-2024,21,19,8,261,47*,23.72,221,118.09,0,0,1,18,9
D Pretorius (SA),2017-2022,30,17,5,261,77*,21.75,159,164.15,0,1,2,22,15
SA Wijeyeratne (CAN),2019-2024,17,13,1,261,56,21.75,214,121.96,0,3,2,38,2
ZM Tribe (JER),2021-2024,21,19,4,261,43*,17.4,248,105.24,0,0,1,23,4
Sayed Monib (KUW),2020-2024,38,26,9,260,32*,15.29,153,169.93,0,0,2,17,20
T Taibu (ZIM),2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2
Adnan Ilyas (OMA),2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8
C Hartmann (IOM),2020-2024,22,21,5,258,39,16.12,239,107.94,0,0,5,15,9
Najeeb Tarakai (AFG),2014-2019,12,12,0,258,90,21.5,210,122.85,0,1,1,21,13
S Thanikaithasan (DEN),2021-2024,20,18,2,258,41*,16.12,244,105.73,0,0,2,15,8
Khurram Nawaz (OMA),2017-2022,24,18,5,257,58,19.76,215,119.53,0,1,1,17,12
Mohamed Arief (MAS),2019-2023,20,16,3,257,52*,19.76,206,124.75,0,1,0,28,6
S Hook (EST),2021-2024,19,18,3,256,69*,17.06,263,97.33,0,1,3,20,10
I Udana (SL),2009-2021,35,25,11,256,84*,18.28,186,137.63,0,1,3,16,14
Imran Ameer (MLT),2022-2023,19,17,5,255,46*,21.25,242,105.37,0,0,0,25,4
SE Marsh (AUS),2008-2016,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10
M Podosky (PHI),2022-2023,17,17,3,255,41,18.21,209,122,0,0,2,17,16
Kashif Siddique (KSA),2022-2024,11,11,0,254,57,23.09,184,138.04,0,2,1,39,6
Shamim Hossain (BAN),2021-2023,19,14,2,254,51,21.16,219,115.98,0,1,0,26,6
Ahmed Hassan (SUI),2023-2024,11,10,4,253,58*,42.16,182,139.01,0,1,0,18,17
WG Jacks (ENG),2022-2024,16,15,0,253,40,16.86,179,141.34,0,0,1,30,10
SF Mire (ZIM),2018-2019,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13
C Munoz-Mills (ESP),2019-2024,32,22,11,253,33*,23,200,126.5,0,0,1,19,11
K Nestor (GIBR),2019-2023,31,27,5,251,35,11.4,270,92.96,0,0,6,23,9
R Escobar (Arg),2019-2023,17,15,4,250,55,22.72,289,86.5,0,1,1,18,2
Khizar Hayat (MAS),2020-2024,44,26,10,250,28,15.62,241,103.73,0,0,2,17,5
DP Michael (Samoa),2019-2022,10,10,2,250,63*,31.25,219,114.15,0,3,1,13,13
DT Johnston (IRE),2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11
V Mbazo (BOT),2019-2023,34,29,4,249,31*,9.96,289,86.15,0,0,4,17,6
RV Uthappa (IND),2007-2015,13,12,2,249,50,24.9,211,118,0,1,1,26,6
Mehidy Hasan Miraz (BAN),2017-2023,25,20,3,248,46,14.58,209,118.66,0,0,2,19,9
W Miyauchi (JPN),2023-2024,16,14,1,247,72,19,234,105.55,0,2,0,26,1
DK Anefie (GHA),2019-2023,36,28,5,246,46,10.69,227,108.37,0,0,11,10,12
SA Okpe (NGA),2019-2024,45,29,8,246,29,11.71,300,82,0,0,2,13,8
Jaker Ali (BAN),2023-2024,17,15,6,245,68,27.22,210,116.66,0,1,0,15,12
SKDT Madusanka (SEY),2021-2022,13,12,4,244,50*,30.5,257,94.94,0,1,1,29,3
CJ Delany (GIBR),2019-2021,13,13,3,243,69*,24.3,224,108.48,0,2,1,26,1
Shafiq Sharif (MAS),2019-2021,13,13,1,243,53,20.25,190,127.89,0,1,3,33,6
Sulaiman Ali (BUL),2020-2022,21,19,1,242,40,13.44,209,115.78,0,0,1,21,11
Vikramjit Singh (NED),2019-2024,18,17,0,242,39,14.23,229,105.67,0,0,1,17,11
GSNFG Jayasuriya (SL),2015-2020,18,16,0,241,40,15.06,222,108.55,0,0,1,20,8
UT Khawaja (AUS),2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5
JN Malan (SA),2019-2021,11,11,0,241,55,21.9,186,129.56,0,1,1,25,11
Surya Anand (DEN),2021-2024,24,16,4,241,36,20.08,247,97.57,0,0,2,8,7
S Vijay Unni (MAS),2022-2024,36,20,6,241,38,17.21,274,87.95,0,0,0,12,6
T Whiteman (LUX),2019-2021,14,12,5,241,55*,34.42,205,117.56,0,1,1,25,6
P Kurup (BHR),2021-2023,12,11,1,240,74,24,206,116.5,0,1,0,19,7
SW Poynter (IRE),2015-2019,25,21,6,240,39,16,213,112.67,0,0,0,22,6
Ali Saleem (NOR),2022-2024,21,16,1,239,53*,15.93,211,113.27,0,1,0,15,11
Abrar Bilal (Aut),2019-2024,19,15,4,238,37,21.63,208,114.42,0,0,1,22,7
Ahmad Ramdoni (INA),2022-2024,29,23,10,238,31,18.3,252,94.44,0,0,1,18,6
Ashfaq Ahmed (UAE),2018-2019,12,12,0,238,75,19.83,185,128.64,0,3,2,32,6
WJ Cope (LUX),2020-2024,33,30,7,238,49,10.34,234,101.7,0,0,6,30,1
PF Gallagher (FIN),2019-2023,22,22,3,238,36,12.52,190,125.26,0,0,5,17,14
Hamid Mahmood (SWE),2022-2024,13,11,5,238,69,39.66,223,106.72,0,2,1,19,6
N Khanna (MLT),2019-2023,24,24,7,238,37*,14,191,124.6,0,0,2,25,5
J Mubarak (SL),2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8
K Dasan (BUL),2019-2020,10,9,1,237,74,29.62,222,106.75,0,1,0,19,4
Khalid Latif (PAK),2008-2016,13,13,2,237,59*,21.54,229,103.49,0,1,1,25,6
HJ Manenti (ITA),2022-2024,15,12,0,237,65,19.75,197,120.3,0,2,1,26,4
S Kaveri (Mex),2019-2024,14,13,3,236,46*,23.6,294,80.27,0,0,1,20,1
RE Levi (SA),2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15
YK Pathan (IND),2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
C Roberts (Fran),2024-2024,10,10,2,236,50*,29.5,223,105.82,0,1,1,23,1
CN Onwuzulike (NGA),2019-2022,22,19,2,235,54,13.82,236,99.57,0,1,2,17,8
G Manan (ROM),2019-2023,15,14,0,234,40,16.71,150,156,0,0,2,28,13
HV Mandhyan (HUN),2021-2024,21,21,1,234,41,11.7,252,92.85,0,0,1,16,8
V Ravindran (HUN),2023-2024,9,8,0,234,57,29.25,174,134.48,0,1,0,31,6
Bilal Masud (EST),2023-2024,8,8,1,233,82,33.28,162,143.82,0,2,0,13,14
AT Carey (AUS),2018-2021,38,26,5,233,37*,11.09,215,108.37,0,0,2,19,7
Karanbir Singh (Aut),2024-2024,9,8,1,233,97,33.28,166,140.36,0,3,1,20,14
Mohamed Azzam (MDV),2019-2024,33,30,3,233,17*,8.62,301,77.4,0,0,4,16,2
ES Szwarczynski (NED),2008-2013,14,12,1,233,45,21.18,243,95.88,0,0,0,22,2
JF Mooney (IRE),2009-2015,27,23,9,231,31*,16.5,214,107.94,0,0,0,25,1
R Ravindra (NZ),2021-2024,23,21,6,231,68,15.4,185,124.86,0,1,2,14,10
Ali Nayyer (SUI),2021-2024,21,16,8,231,48*,28.87,168,137.5,0,0,1,11,12
E Solomon (ISR),2022-2024,9,9,2,231,59*,33,214,107.94,0,1,0,24,0
A Limdawala (MWI),2022-2024,23,13,5,230,54*,28.75,241,95.43,0,1,1,11,3
AR Cusack (IRE),2008-2015,37,21,6,229,65,15.26,177,129.37,0,1,1,17,6
Aftab Ahmed (BAN),2006-2010,11,11,1,228,62*,22.8,178,128.08,0,1,0,26,6
F Akankwasa (UGA),2020-2022,32,21,5,228,66,14.25,192,118.75,0,1,2,21,10
Amar Sharma (MLT),2020-2023,36,21,5,228,34*,14.25,249,91.56,0,0,1,12,3
T Mishra (KENYA),2007-2013,15,15,0,227,38,15.13,263,86.31,0,0,2,15,4
S Pradhan (BHU),2022-2024,17,16,1,227,59,15.13,253,89.72,0,1,2,25,3
G Venkateswaran (LUX),2019-2023,17,17,2,227,59,15.13,230,98.69,0,1,0,21,6
C Bisson (JER),2019-2019,14,14,2,226,54,18.83,177,127.68,0,1,3,24,5
DJ Willey (ENG),2015-2022,43,26,11,226,33*,15.06,173,130.63,0,0,2,15,13
DAS Gunaratne (SL),2016-2017,12,12,3,225,84*,25,178,126.4,0,2,2,19,6
Inam-ul-Haq (QAT),2019-2019,11,11,2,225,73*,25,205,109.75,0,1,1,28,2
Sajid Cheema (KSA),2019-2021,11,11,0,225,52,20.45,204,110.29,0,1,1,20,11
ED Silva (KUW),2021-2022,12,11,2,225,58,25,111,202.7,0,2,2,13,21
MN van Wyk (SA),2007-2015,8,7,1,225,114*,37.5,157,143.31,1,1,0,19,14
CAK Walton (WI),2014-2018,19,17,0,225,40,13.23,203,110.83,0,0,5,23,11
M Yunusu Issa (TAN),2022-2024,39,28,11,225,33*,13.23,187,120.32,0,0,2,15,10
Rony Talukdar (BAN),2015-2023,11,10,0,224,67,22.4,165,135.75,0,1,0,24,7
Yusuf Ebrahim (PAN),2019-2023,13,13,1,224,72,18.66,233,96.13,0,1,1,22,5
A Halbhavi (LUX),2021-2023,16,16,0,223,48,13.93,207,107.72,0,0,5,29,3
PD Hennessy (ESP),2019-2021,13,11,1,223,71,22.3,197,113.19,0,2,2,13,9
MA Jones (SCOT),2022-2024,10,10,1,223,86,24.77,161,138.5,0,1,1,20,11
KTK Rodrigo (MDV),2023-2024,13,13,1,223,71,18.58,245,91.02,0,1,2,22,3
P Useni (NGA),2021-2024,37,26,10,222,37,13.87,161,137.88,0,0,2,9,16
Atif Rasheed (FIN),2022-2024,12,12,1,221,43,20.09,165,133.93,0,0,1,11,12
Choudry Share Ali (SWE),2023-2024,9,9,2,221,61*,31.57,147,150.34,0,2,0,18,12
Idrees Ul Haque (SUI),2021-2024,10,9,0,221,55,24.55,175,126.28,0,1,0,26,9
Bilal Muhammad (MLT),2021-2022,31,21,6,220,35*,14.66,154,142.85,0,0,3,12,14
Mazharul Islam (SEY),2021-2022,13,12,2,220,50,22,208,105.76,0,1,2,25,2
Jitin Singh (TAN),2021-2023,24,16,1,219,60,14.6,200,109.5,0,1,2,28,1
Khalid Ahmadi (Belg),2020-2024,34,23,11,219,31*,18.25,135,162.22,0,0,3,17,14
AD Poynter (IRE),2012-2016,19,14,3,219,57,19.9,184,119.02,0,1,1,21,8
Tanwir Afzal (HKG),2014-2016,21,18,2,219,56,13.68,173,126.58,0,1,4,9,15
Ali Naseer (UAE),2023-2024,25,17,5,218,48*,18.16,173,126.01,0,0,1,16,8
SSJ Brooks (WI),2021-2022,13,12,1,218,56*,19.81,212,102.83,0,1,2,15,11
Akhil Anil (TAN),2022-2023,22,20,3,216,52*,12.7,183,118.03,0,1,2,15,11
TT Bresnan (ENG),2006-2014,34,22,9,216,47*,16.61,170,127.05,0,0,3,16,6
TS Fray (BER),2019-2023,21,19,3,216,62*,13.5,261,82.75,0,1,3,21,4
DO Obuya (KENYA),2007-2012,10,10,2,216,65*,27,228,94.73,0,2,1,22,4
MJG Rippon (NED/NZ),2013-2022,19,11,4,216,42,30.85,192,112.5,0,0,2,15,3
G Chaturvedi (MLT),2019-2022,19,18,1,215,33,12.64,202,106.43,0,0,2,28,3
KMDN Kulasekara (SL),2008-2017,58,30,9,215,31,10.23,184,116.84,0,0,4,14,7
EMDY Munaweera (SL),2012-2017,13,13,1,215,53,17.91,164,131.09,0,1,1,25,7
Noman Amjad (Fran),2021-2024,23,20,4,215,27,13.43,207,103.86,0,0,1,10,6
P Murungi (UGA),2022-2023,31,20,7,214,31,16.46,176,121.59,0,0,0,17,8
S Prasanna (SL),2013-2017,20,20,6,214,37*,15.28,161,132.91,0,0,0,13,13
RG Aga (KENYA),2008-2013,20,18,2,213,52*,13.31,196,108.67,0,1,0,15,5
EF Beard (IOM),2021-2024,23,18,4,213,35,15.21,199,107.03,0,0,4,20,5
SP Gomes (PORT),2022-2023,7,7,2,213,82*,42.6,173,123.12,0,2,1,22,4
Muslim Yar (GER),2019-2024,44,17,5,213,39,17.75,167,127.54,0,0,1,12,11
B Fitchet (GUE),2023-2024,9,9,0,212,41,23.55,144,147.22,0,0,0,30,7
Gurpratap Singh (CYP),2021-2022,11,11,0,212,54,19.27,149,142.28,0,1,1,12,17
Saad Khan (KSA),2022-2024,16,15,0,212,69,14.13,216,98.14,0,1,2,19,7
Ali Farasat (HUN),2022-2024,17,16,1,211,32,14.06,169,124.85,0,0,0,12,13
Anwar Arudin (MAS),2019-2021,21,21,0,211,32,10.04,207,101.93,0,0,5,24,7
JA Burns (ITA),2024-2024,5,5,2,211,108*,70.33,146,144.52,1,1,1,18,9
OB Nightingale (GUE),2022-2024,19,14,5,211,35,23.44,195,108.2,0,0,1,16,1
P Sharma (KENYA),2022-2024,14,13,3,211,39,21.1,178,118.53,0,0,1,23,6
Haris Sohail (PAK),2013-2019,14,13,2,210,52,19.09,204,102.94,0,2,1,16,3
CA Ingram (SA),2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
P Silas (BOT),2019-2023,29,19,4,210,41,14,201,104.47,0,0,5,11,4
A Natubhai Ahir (PAN),2019-2023,16,16,0,209,51,13.06,210,99.52,0,1,3,19,9
CPPM Sadun (CYP),2021-2024,12,12,3,208,52*,23.11,208,100,0,1,1,19,5
Ghulam Shabber (UAE),2016-2019,17,14,3,208,58*,18.9,182,114.28,0,1,0,24,4
Imal Zuwak (SWE),2021-2024,16,16,2,208,47*,14.85,210,99.04,0,0,2,21,5
MB Kruger (NAM),2024-2024,14,14,2,208,59*,17.33,198,105.05,0,1,0,21,8
R Mazumder (CYP),2021-2024,13,12,2,208,53,20.8,167,124.55,0,1,0,20,6
Abdul Shakoor (ROM),2019-2023,19,14,3,207,31*,18.81,219,94.52,0,0,1,17,2
Imran Asif (Aut),2021-2024,11,10,1,207,102,23,153,135.29,1,0,0,19,12
Ijaz Hussain (ROM),2019-2024,27,21,4,207,40,12.17,217,95.39,0,0,0,20,7
BMAJ Mendis (SL),2011-2018,22,15,4,207,43*,18.81,174,118.96,0,0,1,18,6
Haseeb Ghafoor (KSA),2022-2024,20,13,7,206,47*,34.33,200,103,0,0,2,10,11
Mohammad Saifuddin (BAN),2017-2024,38,21,10,206,39*,18.72,180,114.44,0,0,2,16,7
